SpectralCentroid,SpectralBandwidth,SpectralRolloff,ZeroCrossingRate,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,LPC,SpectralContrast,ChromaSTFT,Tempo
2483.3816041047576,1936.118731258058,4672.335687960688,0.26327477157555285,-513.88,56.062885,-7.168067,3.8655603,-14.540498,-13.532054,-18.510736,-15.153493,-15.380921,-13.982499,-14.758567,-9.272176,-13.602145,0.5025639,17.824641228983296,0.560767,133.92857142857142
2616.970797642217,2062.051269239605,5060.961174242424,0.24849076704545456,-556.4234,51.94483,-1.5223315,2.2656782,-4.840454,-4.336066,-11.54795,-14.843617,-12.418289,-9.205204,-9.682707,-9.3077135,-10.960829,0.5713141,16.832555532899228,0.6074425,156.25
2913.6187486353774,2139.5749964449124,5521.253360215053,0.3040364583333333,-588.8129,37.71904,1.5981549,4.236516,-3.2926629,-5.334419,-9.221067,-9.98953,-8.794645,-7.9229164,-7.5994263,-6.987557,-8.219561,0.8963016,16.200143775486204,0.64986193,133.92857142857142
2455.086198168947,1922.6031980937155,4676.246279761905,0.23241024925595238,-519.65063,57.535847,-10.673443,5.3942084,-13.196037,-8.344677,-17.45048,-20.220718,-15.174966,-12.183962,-11.365559,-9.635447,-12.764,0.70635307,18.120738835839628,0.56359196,170.45454545454547
2262.532961639722,1833.7427177103898,4247.882153614458,0.21906179405120482,-489.25244,70.69207,-1.5811694,-5.77863,-22.37267,-10.458038,-17.116009,-16.628183,-15.814762,-13.798896,-11.979061,-9.5522995,-13.698587,0.39871192,18.5221380034363,0.5035671,156.25
1386.9163620874756,1478.6019909001984,2441.3813694267515,0.12474808419585988,-343.44553,109.3374,-8.103542,-22.145292,-46.798363,-11.377915,-16.53622,-10.311487,-34.963604,-4.4550004,-18.42864,-13.997129,-17.406649,0.77282554,21.878099886928894,0.38025686,170.45454545454547
1625.6346851381213,1642.291552119585,3070.562900641026,0.15401517427884615,-367.88037,94.22324,-26.152767,-20.701548,-15.721841,-2.8150418,-29.31322,-13.809629,-26.545605,-10.322215,-11.987879,-14.677998,-28.690523,0.72903293,20.993178850319957,0.38725555,110.29411764705883
1787.3815336599416,1777.369261205303,3530.3986378205127,0.22010216346153846,-426.6982,89.37812,-2.3319683,-1.0547547,-12.438312,-10.880381,-26.351572,-19.595064,-20.466217,-12.047556,-15.456816,-18.378023,-19.795889,0.36778066,18.421281885038148,0.53317285,133.92857142857142
1779.3757271892366,1659.2761606715071,3131.9110576923076,0.14453594501201922,-447.96085,88.17169,-17.52278,-24.616617,-29.135328,-6.02147,-14.7232685,-15.651111,-24.572287,-1.2749561,-14.765208,-14.195898,-16.434744,0.6274291,20.862886029671674,0.40148813,98.6842105263158
1297.690367724208,1396.9079410542151,2530.453821656051,0.07565560310509555,-444.89352,86.353065,-25.46899,43.96819,-0.9935785,-29.023611,-15.312157,-21.250355,-22.529758,-26.71035,-15.892793,-18.88547,-28.195805,0.8514626,24.53407420079922,0.23625334,93.75
2243.1907624906007,1821.7909790137971,4197.621613300493,0.2017503559883005,-409.89764,48.19506,-12.008115,15.556189,-25.32523,-22.23293,-23.220732,-11.704301,-19.176102,-13.480827,-18.257345,-10.94476,-14.777642,0.519804,20.885294640041185,0.42527965,170.45454545454547
2454.8392184427644,1949.9277465115779,4703.004807692308,0.22463942307692308,-515.8934,47.176704,-5.1223297,6.667875,-12.039161,-11.021325,-13.609644,-13.371791,-12.290593,-8.9652815,-9.518914,-8.627973,-8.030774,0.5940722,17.92994139906616,0.56161255,187.5
2192.663810788279,1842.1326918120753,4295.3125,0.202862548828125,-472.69482,57.539696,-10.2024,8.997438,-14.213452,-14.936813,-19.043386,-15.571846,-18.022877,-14.205393,-11.773743,-8.567724,-11.788656,0.9051903,19.269684666114358,0.4869282,117.1875
2616.0571639383757,1991.8172326475917,4959.418402777777,0.2537570529513889,-519.2789,41.14615,-10.354266,9.206087,-13.937664,-13.195091,-16.979319,-12.846985,-13.37956,-12.808952,-10.439202,-5.259344,-12.472206,0.8159493,18.03526196766551,0.59290415,187.5
2523.9404270733326,1928.6561723380426,4694.56636235955,0.24610197945926968,-485.16257,46.616035,-7.309484,-1.7446892,-28.031525,-14.892441,-18.466692,-12.667502,-16.513103,-9.541891,-12.453184,-9.806779,-11.945976,0.4117249,19.286612110287702,0.53442895,110.29411764705883
2191.6950982298317,1818.897704725291,4213.541666666667,0.19234212239583334,-483.28506,59.355633,-22.820591,-8.37611,-26.923038,-8.223015,-10.368302,-6.051951,-13.865967,-10.341655,-7.177351,-13.7920265,-11.94855,1.1057003,20.314790061514174,0.46308205,133.92857142857142
2217.3135823294174,1870.4726715839718,4171.976461038961,0.20638126521915584,-505.77518,66.17414,-7.011714,-10.071138,-29.854628,-16.673117,-21.688196,-12.346706,-14.881503,-7.4101152,-13.098514,-9.871284,-12.762228,0.51122797,16.85173128387445,0.507018,125.0
